n15_external_pusher_fraction,event,temperature_keV,completion_fraction,peak_temperature_keV,seed_energy_mev_per_initial_catalyst,seed_energy_mev_per_completion,deposited_target_nuclear_mev_per_initial_catalyst
0.05,oven-1-c12-to-n13,66.0,0.9777500352082684,348.348635415513,1.3047505393944645,1.3344418229722104,6.617467696235591
0.05,oven-1-c12-to-n13,67.0,0.9775826126893076,349.1670540565013,1.3260494699592118,1.3564577077647482,6.6171423943877565
0.05,oven-1-c12-to-n13,68.0,0.9774163344462752,349.9774756359746,1.3473934711263418,1.3785256329787712,6.616819315870682
0.05,oven-1-c12-to-n13,69.0,0.9772510993666347,350.79720475796427,1.3687822400927443,1.4006453827269825,6.616498264212782
0.05,oven-1-c12-to-n13,70.0,0.977086653088313,351.6735618717992,1.3902154779354292,1.4228169769194217,6.6161787451986385
0.1,oven-1-c12-to-n13,5.0,6.91374895185973e-10,5.0019386188331705,0.11334822408657698,163946109.23222405,3.086707977356396e-05
0.1,oven-1-c12-to-n13,6.0,4.724615023031373e-09,6.016897794239482,0.129258380718091,27358500.129214168,0.0002832829047494561
0.1,oven-1-c12-to-n13,7.0,2.311442942780574e-08,7.1113771107178785,0.14562259036691208,6300072.89696426,0.0018162683350966035
0.1,oven-1-c12-to-n13,8.0,1.0731208473785959e-07,8.651445543177115,0.16232831835732126,1512675.0985581402,0.011125808694625452
0.1,oven-1-c12-to-n13,9.0,0.9786634867496331,298.5231271144559,0.17930277949759357,0.1832118822508638,6.370942531999228
0.1,oven-1-c12-to-n13,10.0,0.9886216160869072,300.1297327913392,0.19649671425971113,0.1987582620714593,6.390291170966536
0.1,oven-1-c12-to-n13,11.0,0.9898576398884775,300.9273251797609,0.21387549283344018,0.21606692135804145,6.392692764427907
0.1,oven-1-c12-to-n13,12.0,0.9900163641315048,301.6355773711914,0.23141397573410108,0.23374762692645973,6.393001165527992
0.1,oven-1-c12-to-n13,13.0,0.9898674855749282,302.3244502127532,0.24909340567925564,0.2516431838697873,6.39271189458999
0.1,oven-1-c12-to-n13,14.0,0.9896084991848698,303.00584830730565,0.26689945193265535,0.26970206112063266,6.392208684198888
0.1,oven-1-c12-to-n13,15.0,0.98930845352368,303.68026610606313,0.2848209368116318,0.287899022592163,6.391625695670755
0.1,oven-1-c12-to-n13,16.0,0.9889957592596584,304.3733172522966,0.30284898125260257,0.30621868538577857,6.391018130912764
0.1,oven-1-c12-to-n13,17.0,0.9886804905469729,305.0655970991879,0.3209764163380179,0.3246513099094758,6.390405564003306
0.1,oven-1-c12-to-n13,18.0,0.9883682753031655,305.7572389468252,0.3391973685413485,0.34318925143292905,6.389798929985476
0.1,oven-1-c12-to-n13,19.0,0.9880615571479251,306.4671714825801,0.3575069613669866,0.36182660764471314,6.389202976806044
0.1,oven-1-c12-to-n13,20.0,0.987760951385318,307.165712307527,0.37590109676701294,0.38055877410401573,6.388618900000484
0.1,oven-1-c12-to-n13,21.0,0.9874670008926109,307.8885777594915,0.3943762923600742,0.3993817433935329,6.388047754379164
0.1,oven-1-c12-to-n13,22.0,0.9871794176391996,308.6002317556187,0.41292955840317874,0.4182923094068183,6.3874889803003025
0.1,oven-1-c12-to-n13,23.0,0.986898144487623,309.3281441177725,0.431558303555837,0.43728758227617615,6.386942466745879
0.1,oven-1-c12-to-n13,24.0,0.9866228501693944,310.05825377848635,0.45026026181391315,0.4563651264884119,6.386407570060703
0.1,oven-1-c12-to-n13,25.0,0.9863532001560612,310.78012268109416,0.4690334352235808,0.4755227996922098,6.38588364025606
0.1,oven-1-c12-to-n13,26.0,0.9860890561947788,311.53364490851305,0.48787604850660277,0.49475860769540303,6.385370408706025
0.1,oven-1-c12-to-n13,27.0,0.9858299471848526,312.2664161613772,0.5067865127810289,0.5140709249381339,6.384866960066397
0.1,oven-1-c12-to-n13,28.0,0.9855757357510075,313.0164601679118,0.5257633963014056,0.5334581374416392,6.384373027411967
0.1,oven-1-c12-to-n13,29.0,0.9853261519950404,313.77820108089145,0.5448054006699572,0.5529188478016763,6.383888086331396
0.1,oven-1-c12-to-n13,30.0,0.9850808725020913,314.5212688101903,0.5639113413509206,0.5724518230859501,6.383411508434579
0.1,oven-1-c12-to-n13,31.0,0.9848398009119257,315.2877364349391,0.5830801315983215,0.5920558156345942,6.382943106488008
0.1,oven-1-c12-to-n13,32.0,0.9846026956226513,316.0648050514515,0.6023107691129503,0.6117297583997127,6.38248241106168
0.1,oven-1-c12-to-n13,33.0,0.9843692984127813,316.8247033716941,0.621602324897643,0.6314726860131947,6.382028920429937
0.1,oven-1-c12-to-n13,34.0,0.9841394965450968,317.5914709212247,0.6409539338955278,0.6512836200006703,6.381582415548817
0.1,oven-1-c12-to-n13,35.0,0.9839131725314975,318.33670724883126,0.66036478708381,0.6711616487304117,6.381142668132802
0.1,oven-1-c12-to-n13,36.0,0.9836900555750284,319.0408529263034,0.6798341247630569,0.6911060256328924,6.380709152030131
0.1,oven-1-c12-to-n13,37.0,0.9834700273773156,319.73119881762597,0.69936123083406,0.7111159581538979,6.380281637383085
0.1,oven-1-c12-to-n13,38.0,0.9832530593982073,320.45477783863276,0.7189454278949922,0.7311906340113676,6.379860068737694
0.1,oven-1-c12-to-n13,39.0,0.9830389683962951,321.18411588008564,0.7385860730232837,0.7513293946304024,6.3794440900559435
0.1,oven-1-c12-to-n13,40.0,0.9828276083575052,321.9002882077815,0.758282554132079,0.7715315968782315,6.379033417634902
0.1,oven-1-c12-to-n13,41.0,0.9826188800717387,322.6039377133573,0.7780342868107449,0.7917965984471441,6.378627858708479
0.1,oven-1-c12-to-n13,42.0,0.982412750333819,323.34290059633474,0.7978407115752333,0.8121237344528874,6.378227348757453
0.1,oven-1-c12-to-n13,43.0,0.9822090770886595,324.0897598325044,0.8177012914667438,0.8325124564013102,6.377831611773579
0.1,oven-1-c12-to-n13,44.0,0.982007745185466,324.82448817412353,0.8376155099476241,0.8529622236222064,6.377440424014551
0.1,oven-1-c12-to-n13,45.0,0.9818086756394122,325.5476231466059,0.8575828690518484,0.8734724904455947,6.377053632010683
0.1,oven-1-c12-to-n13,46.0,0.9816118059832234,326.2779943348951,0.8776028877543435,0.8940427187255554,6.376671114393945
0.1,oven-1-c12-to-n13,47.0,0.9814170792127387,327.0486653512386,0.8976751005290682,0.9146723850059287,6.3762927604028325
0.1,oven-1-c12-to-n13,48.0,0.9812243788423307,327.80796726052745,0.9177990560704792,0.9353610406147043,6.375918343705702
0.1,oven-1-c12-to-n13,49.0,0.9810336425456099,328.5563608227754,0.9379743161567182,0.9561082061598212,6.375547743202588
0.1,oven-1-c12-to-n13,50.0,0.9808448077051752,329.2942791557942,0.95820045463637,0.9769134190333486,6.375180837227795
0.1,oven-1-c12-to-n13,51.0,0.9806578220290583,330.0473090449969,0.9784770565229473,0.9977762217797856,6.374817524180747
0.1,oven-1-c12-to-n13,52.0,0.980472610264743,330.836989019531,0.9988037171838052,1.0186961948015179,6.374457657839583
0.1,oven-1-c12-to-n13,53.0,0.98028911643015,331.6162676819764,1.019180041611926,1.0396729133578495,6.374101129433981
0.1,oven-1-c12-to-n13,54.0,0.9801072909141461,332.3855257537864,1.0396056437706334,1.0607059588353773,6.3737478425721354
0.1,oven-1-c12-to-n13,55.0,0.9799270874624505,333.1451235995565,1.0600801460026739,1.081794920832102,6.373397707380156
0.1,oven-1-c12-to-n13,56.0,0.979748461591393,333.8954025425985,1.0806031784961987,1.1029393980787567,6.373050637426359
0.1,oven-1-c12-to-n13,57.0,0.9795713002108715,334.70427250905925,1.1011743788011998,1.1241390785582948,6.372706412977336
0.1,oven-1-c12-to-n13,58.0,0.9793956083682472,335.51040596964464,1.1217933913907578,1.1453935282186498,6.372365043839955
0.1,oven-1-c12-to-n13,59.0,0.9792213460230483,336.3071753417482,1.1424598672621773,1.1667023721471108,6.372026452212476
0.1,oven-1-c12-to-n13,60.0,0.9790484763686045,337.0948878388849,1.1631734635737123,1.1880652405364514,6.371690566583839
0.1,oven-1-c12-to-n13,61.0,0.9788769704220811,337.8738362541306,1.1839338433130946,1.2094817623532355,6.371357330638933
