proton_ratio,radius_m,geometric_coefficient,initial_temperature_keV,final_temperature_keV,peak_temperature_keV,nitrogen_burn_fraction,proton_burn_fraction,initial_hydrodynamic_time_s,elapsed_s,trapped_bremsstrahlung,expansion_loss_multiplier,outcome,fixed_t_target_burn_fraction,fixed_t_required_rho_r_kg_m2,fixed_t_fusion_to_thermal,fixed_t_fusion_to_thin_brem,fixed_t_fusion_to_escaping_brem
3.0,109.11909456556107,1.0,60.0,1.0000000000000087,128.82384798527866,0.9672425414887231,0.32241418049624104,3.983293799679385e-05,3.5033210396517396e-05,True,0.0,near-complete-burn,0.789489349499049,32232.240471714184,3.1115905631843472,0.0014688455745758657,1.152322156807639
3.0,45.530936407771286,1.0,80.0,1.0000000000436795,80.0,0.00027657805890012185,9.219268630004062e-05,1.4393910585951852e-05,1.6208638505661335e-08,False,1.0,quenched,0.789489349499049,13449.196009556941,2.3336929223882605,0.0035202240893730703,1.0924812721052297
3.0,45.530936407771286,1.0,80.0,0.9999999999678684,80.0,0.18438810473926104,0.06146270157975368,1.4393910585951852e-05,7.080075779926101e-06,True,1.0,quenched,0.789489349499049,13449.196009556941,2.3336929223882605,0.0035202240893730703,1.0924812721052297
3.0,45.530936407771286,1.0,80.0,1.0000000000018199,81.18417778250077,0.33482438257432035,0.11160812752477345,1.4393910585951852e-05,9.259502588547847e-06,True,0.0,quenched,0.789489349499049,13449.196009556941,2.3336929223882605,0.0035202240893730703,1.0924812721052297
3.0,26.668232636295762,1.0,100.0,1.000000001375347,100.0,0.0006777373912638457,0.00022591246375461524,7.540696243092455e-06,1.8368099401936554e-08,False,1.0,quenched,0.789489349499049,7877.419536067074,1.8669543379106082,0.006010113281230649,1.0406604970641808
3.0,26.668232636295762,1.0,100.0,1.0000000000090525,100.0,0.2065481060391611,0.06884936867972037,7.540696243092455e-06,4.452394499452939e-06,True,1.0,quenched,0.789489349499049,7877.419536067074,1.8669543379106082,0.006010113281230649,1.0406604970641808
3.0,26.668232636295762,1.0,100.0,1.0000000000001108,100.17983401362375,0.3318315984957644,0.11061053283192146,7.540696243092455e-06,5.603409158789047e-06,True,0.0,quenched,0.789489349499049,7877.419536067074,1.8669543379106082,0.006010113281230649,1.0406604970641808
3.0,18.12728098093616,1.0,120.0,1.0000000244513791,120.0,0.0013066333912938042,0.0004355444637646014,4.679066906961294e-06,2.0323005680217787e-08,False,1.0,quenched,0.789489349499049,5354.542960625609,1.5557952815921736,0.008841872055875883,0.9953031832513117
3.0,18.12728098093616,1.0,120.0,1.0000000000022948,120.0,0.2260015170099891,0.0753338390033297,4.679066906961294e-06,3.198546166901446e-06,True,1.0,quenched,0.789489349499049,5354.542960625609,1.5557952815921736,0.008841872055875883,0.9953031832513117
3.0,18.12728098093616,1.0,120.0,1.0000000000003115,120.0,0.34772540429003357,0.11590846809667786,4.679066906961294e-06,3.992528026458187e-06,True,0.0,quenched,0.789489349499049,5354.542960625609,1.5557952815921736,0.008841872055875883,0.9953031832513117
