temperature_keV,p_n15_reactivity_m3_s,p_n15_gamma_o16_reactivity_m3_s,p_n15_gamma_to_alpha_branch_ratio,dt_reactivity_m3_s,dd_total_reactivity_m3_s,dd_n_branch_reactivity_m3_s,dd_t_branch_reactivity_m3_s,p_n15_deposited_heating_coefficient_w_m3,dt_local_alpha_heating_coefficient_w_m3,dt_total_energy_coefficient_w_m3,dd_local_charged_heating_coefficient_w_m3,dd_total_energy_coefficient_w_m3
12.151153010313351,4.348193532609721e-30,1.1249994737088378e-33,0.000258728013201756,1.7382975161947842e-22,1.8663773252958014e-24,9.614161333705279e-25,9.049611919252736e-25,3.4596006871632115e-42,9.80341001512407e-35,4.898641441932308e-34,7.1083842367557725e-37,1.0882262474626147e-36
12.516197451547564,5.912681922832689e-30,1.4977430271372053e-33,0.00025331026540654095,1.8554266811404457e-22,1.9932500190696376e-24,1.0274715331799551e-24,9.657784858896823e-25,4.7043716637268384e-42,1.0463978886674336e-34,5.228719449935082e-34,7.587992985235105e-37,1.162116064750975e-36
12.89220854293941,8.035710388167915e-30,1.9916706702793894e-33,0.00024785247029459907,1.9776829429420033e-22,2.1272362029031034e-24,1.0972875239417518e-24,1.0299486789613514e-24,6.393539977523706e-42,1.1153462850259956e-34,5.573245967989271e-34,8.094198907325394e-37,1.2401417564841413e-36
13.279515744143916,1.0917183446835001e-29,2.6459596250497924e-33,0.00024236650761940635,2.1050312106840638e-22,2.2686364551160908e-24,1.1710270309081941e-24,1.0976094242078969e-24,8.686157842631436e-42,1.187166400498756e-34,5.932122107492221e-34,8.628105145713014e-37,1.32247759051366e-36
13.678458412429594,1.482878463830312e-29,3.5124808163899e-33,0.0002368690962924281,2.237407988798203e-22,2.417758715120404e-24,1.2488572108789922e-24,1.1689015042414118e-24,1.1798387799376135e-41,1.26182242573285e-34,6.305168933583835e-34,9.190840615061644e-37,1.4093020729119835e-36
14.089386100022091,2.0139414648084586e-29,4.659864388614545e-33,0.00023138032907315577,2.374719635274906e-22,2.574918231037474e-24,1.3309494357813498e-24,1.2439687952561243e-24,1.6023742327255793e-41,1.339261549802337e-34,6.6921225566685516e-34,9.783559748115043e-37,1.500797916137373e-36
14.512658860380741,2.734923298302976e-29,6.1787897759875e-33,0.0002259218669796498,2.516840769405471e-22,2.7404374985199753e-24,1.4174792712450125e-24,1.3229582272749628e-24,2.1760168794669213e-41,1.4194130622284899e-34,7.092629645322985e-34,1.0407442210738755e-36,1.5971520021280616e-36
14.948647563676134,3.7134952745058845e-29,8.18881507670121e-33,0.00022051502617815528,2.6636128669095453e-22,2.9146461909394516e-24,1.5086264502132247e-24,1.4060197407262268e-24,2.954608783419811e-41,1.5021875606792473e-34,7.506243467269114e-34,1.1063692586737495e-36,1.698555340425418e-36
15.39773422174535,5.0409734965902867e-29,1.0847116553091007e-32,0.0002151790038259077,2.814843082500889e-22,3.097881081126814e-24,1.6045748416434311e-24,1.4933062394833827e-24,4.0108047725990276e-41,1.5874762869361294e-34,7.932420571283971e-34,1.1753540033378319e-36,1.805203021440244e-36
15.860312322809431,6.840186524994766e-29,1.4359566600148774e-32,0.00020992945949174625,2.9703033417575623e-22,3.2904859548764133e-24,1.7055124143645707e-24,1.5849735405118426e-24,5.442332275397472e-41,1.6751506147397414e-34,8.370518228027644e-34,1.2478237908636714e-36,1.9172941649901726e-36
16.33678717624646,9.275738484647638e-29,1.8994634852538005e-32,0.0002047776021712579,3.1297297454731015e-22,3.492811516446828e-24,1.8116311961696522e-24,1.681180320277176e-24,7.380157068623637e-41,1.7650617138639833e-34,8.819792751464092e-34,1.3239063371266805e-36,2.03503186424916e-36
16.82757626772226,1.2567300119990558e-28,2.510064910481723e-32,0.00019972984543346843,3.292822330349192e-22,3.705215286312202e-24,1.9231272282339203e-24,1.7820880580782816e-24,9.999058184701107e-41,1.8570404151548146e-34,9.279398824476713e-34,1.4037316954870671e-36,2.1586231252620324e-36
17.333109624989923,1.7006692479250594e-28,3.3126996950888826e-32,0.00019478800472993898,3.459245229807021e-22,3.9280614914375686e-24,2.0402005149595766e-24,1.8878609764779916e-24,1.3531220389879031e-40,1.950897301222415e-34,9.748389952045755e-34,1.487432211721364e-36,2.2882788021883993e-36
17.853830194678693,2.2979676747532778e-28,4.3649881992614066e-32,0.00018994993912305818,3.628627277691542e-22,4.161720948368764e-24,2.1630549693579276e-24,1.9986659790108364e-24,1.828357106700305e-40,2.0464230469099712e-34,1.0225720162528263e-33,1.57514247660922e-36,2.4242135284501203e-36
18.390194230402322,3.0993528000734795e-28,5.740326685564016e-32,0.0001852104957340747,3.800563095563557e-22,4.406570939443781e-24,2.291898354089004e-24,2.1146725853547773e-24,2.4659719022349805e-40,2.1433890324896336e-34,1.0710247071721636e-33,1.6669992763119056e-36,2.5666456439658987e-36
18.942671692526933,4.171164773485143e-28,7.531563640172218e-32,0.00018056260179526192,3.974614700952478e-22,4.6629950824457745e-24,2.4269422182867535e-24,2.236052864159021e-24,3.3187493630163175e-40,2.2415482506626732e-34,1.1200736415030044e-33,1.763141540683459e-36,2.7157971186642144e-36
